"name","key_mlbam","key_bbref","key_fangraphs"
"Brent Abernathy",150466,"abernbr01",1192
"Eddie Williams",124305,"willied01",1013996
"Ramon Aviles",110399,"avilera01",1000381
"Sean Rodríguez",446481,"rodrise01",6589
"David Washington",572241,"washida01",12110
"Sergio Valdez",123606,"valdese01",1013320
"Matt Smith",445224,"smithma04",3053
"Erick Mejia",625510,"mejiaer01",15817
"Reynaldo Garcia",424505,"garcire01",1557
"Rick Lancellotti",117446,"lanceri01",1007289
"Richie Zisk",124780,"ziskri01",1014455
"Guillermo Rodriguez",276534,"rodrigu01",7011
"Luis Durango",470516,"duranlu01",6533
"Dallas Beeler",542923,"beeleda01",11471
"Joel De La Cruz",503444,"delacjo01",12825
"Glenn Davis",113109,"davisgl01",1003052
"Blake Beavan",518444,"beavabl01",338
"Tony Mack",118091,"mackto01",1007929
"Sandy Rosario",466459,"rosarsa02",1525
"Bill Fahey",113976,"faheybi01",1003897
"Terry Bulling",111683,"bullibu01",1001645
"Derek Wallace",123856,"wallade01",1013544
"Rubby De La Rosa",523989,"delarru01",3862
"Darrell Woodard",124546,"woodada01",1014207
"Wyatt Toregas",444430,"toregwy01",7471
"Art Kusnyer",117374,"kusnyar01",1007220
"Kevin Kramer",596012,"krameke01",17689
"Brad Hennessey",430913,"hennebr01",3720
"Sterling Hitchcock",115982,"hitchst01",824
"Reid Gorecki",434698,"gorecre01",4603
"Eddie Watt",123991,"watted01",1013684
"Nick Swisher",430897,"swishni01",4599
"Joel Hanrahan",430629,"hanrajo01",2186
"Tom Newell",119736,"newelto01",1009532
"Shawn Jeter",116541,"jetersh01",1006406
"Rangel Ravelo",592660,"ravelra01",10839
"Rick Short",430907,"shortri01",2263
"Ricky Ledee",133342,"ledeeri01",1407
"Jeff Grotewold",115195,"groteje02",1005093
"Steve Curry",112961,"curryst01",1002895
"Thad Bosley",111251,"bosleth01",1001214
"Matt Ford",425651,"fordma01",1674
"Gerald Williams",124314,"willige02",1395
"John Bormann",657524,"bormajo01",18006
"Cliff Speck",122567,"speckcl01",1012310
"Paul Carey",111990,"careypa01",1001945
"Zac Reininger",643617,"reiniza01",15285
"Larry Pashnick",120269,"pashnla01",1010041
"Adrián Hernández",406324,"hernaad01",1504
"Rondin Johnson",116623,"johnsro05",1006501
"Todd Steverson",122771,"steveto01",1012513
"Dave Augustine",110378,"augusda01",1000363
"Tony Batista",110682,"batisto01",124
"Todd Helton",115732,"heltoto01",432
"Don Dennis",113270,"dennido01",1003207
"Don Hopkins",116139,"hopkido01",1006014
"Ben Taylor",664701,"taylobe10",18114
"Mark Lemongello",117673,"lemonma01",1007521
"Ross Grimsley",115171,"grimsro02",1005071
"John Mizerock",119209,"mizerjo01",1009016
"Tyler Chatwood",543022,"chatwty01",4338
"Carter Kieboom",666198,"kieboca01",19958
"Harry Bright",111467,"brighha01",1001430
"Tom Evans",113941,"evansto01",1003871
"Gomer Hodge",116007,"hodgego01",1005884
"Victor González",624647,"gonzavi02",16408
"Cory Rasmus",474284,"rasmuco02",2413
"Chris Withrow",519437,"withrch01",7161
"Jason Romano",400099,"romanja01",1278
"Dennis Saunders",121712,"saundde01",1011460
"Rhyne Hughes",446560,"hugherh01",9955
"Mike Davison",113148,"davismi01",1003069
"Kim Andrew",110261,"andreki01",1000257
"Pepe Mangual",118231,"mangupe01",1008058
"Mark Carreon",112036,"carrema01",1001989
"Angel Castro",502162,"castran01",3243
"Don Florence",114251,"floredo01",1004168
"Mike Garman",114623,"garmami01",1004539
"Jose Rodriguez",316792,"rodrijo04",1180
"Geronimo Berroa",110928,"berroge01",1000900
"Terry McGriff",118731,"mcgrite01",1008549
"Willie Prall",120740,"prallwi01",1010509
"José Mujica",620445,"mujicjo01",17821
